Produk,Temperatur,Ukuran,Warna,Komponen,Qty,UOM,Harga,Kategori,Harga Jual
,,,,PREMIUM HOUSEBLEND,162,GRAM,167.92,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,420,ML,15.29,,
,,,,SYRUP NABATA BUTTERSCOTCH,105,ML,66.82,,
,,,,SYMPLE SYRUP,140,ML,59.83,,
,,,,SANTOS CREAMER,210,GRAM,36.5,,
,,,,BOTOL 1 LITER,1,PCS,6000,,
,,,,STIKER BOTOL DIRNOCOFFE,1,UNITS,4000,,
DIRNOCOFFEE LATTE DECAFF 1L,,,,,,,,Beverage,
,,,,ARABIKA BALI KINTAMANI DECAFF,162,GRAM,160,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,360,ML,15.29,,
,,,,BOTOL 1 LITER,1,PCS,6000,,
,,,,STIKER BOTOL DIRNOCOFFE,1,UNITS,4000,,
DIRNOCOFFEE PANDAN LATTE 1L,,,,,,,,Beverage,
,,,,PREMIUM HOUSEBLEND,162,GRAM,167.92,,
,,,,SYRUP PANDAN IPANG,105,ML,35.71,,
,,,,SYMPLE SYRUP,140,ML,59.83,,
,,,,SANTOS CREAMER,210,GRAM,36.5,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,420,ML,15.29,,
,,,,BOTOL 1 LITER,1,PCS,6000,,
,,,,STIKER BOTOL DIRNOCOFFE,1,UNITS,4000,,
Dirno Pandan Latte,,,,,,,,Beverage,
,,,,Kopi Instan,5,GRAM,214.55,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,88,ML,15.29,,
,,,,MAX CREAMER,22,GRAM,67.16,,
,,,,SYRUP PANDAN MONIN,18,ML,180.44,,
,,,,GULA PASIR GULAKU,22,GRAM,17.28,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
,,,,ICE CUBE,300,GRAM,1.31,,
ICE CHOCO LAVA,,Reguler,,,,,,Beverage,
,,,,POWDER CHOCO SWISS JPS,33,GRAM,56.72,,
,,,,GULA PASIR GULAKU,23,GRAM,17.28,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,88,ML,15.29,,
,,,,POWDER ROYAL CHOCO JPS,6,GRAM,56.46,,
,,,,ICE CUBE,275,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
ICE CHOCO LAVA,,Jumbo,,,,,,Beverage,
,,,,POWDER CHOCO SWISS JPS,50,GRAM,56.72,,
,,,,GULA PASIR GULAKU,28,GRAM,17.28,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,110,ML,15.29,,
,,,,POWDER ROYAL CHOCO JPS,6,GRAM,56.46,,
,,,,ICE CUBE,396,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 22 OZ,1,PCS,2322.16,,
NEW ALPENLIBE,,Reguler,,,,,,Beverage,
,,,,SYRUP CARAMEL TRIESTE,33,ML,0,,
,,,,MAX CREAMER,22,GRAM,67.16,,
,,,,ZE SAUCE SALTED CARAMEL,22,GRAM,0,,
,,,,GULA PASIR GULAKU,12,GRAM,17.28,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,88,ML,15.29,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
NEW CHOCO POP,,Reguler,,,,,,Beverage,
,,,,POWDER CHOCOLATE TULIP BORDEAUX,30,GRAM,0,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,80,ML,15.29,,
,,,,MAX CREAMER,17,GRAM,67.16,,
,,,,GULA PASIR GULAKU,18,GRAM,17.28,,
,,,,ICE CUBE,400,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
NEW FRUITTELLA,,Reguler,,,,,,Beverage,
,,,,SYRUP CARAMEL TRIESTE,12,ML,0,,
,,,,ABC SIRUP SQUASH ORANGE,12,ML,0,,
,,,,MARJAN SQUASH MANGO,12,ML,0,,
,,,,ABC SIRUP SQUASH PINEAPPLE,12,ML,0,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,60,ML,15.29,,
,,,,MAX CREAMER,11,GRAM,67.16,,
,,,,YAKULT,1,BOTOL 65 ML,2018.47,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
NEW FRUITTELLA,,Jumbo,,,,,,Beverage,
,,,,SYRUP CARAMEL TRIESTE,22,ML,0,,
,,,,ABC SIRUP SQUASH ORANGE,17,ML,0,,
,,,,MARJAN SQUASH MANGO,17,ML,0,,
,,,,ABC SIRUP SQUASH PINEAPPLE,17,ML,0,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,110,ML,15.29,,
,,,,MAX CREAMER,17,GRAM,67.16,,
,,,,YAKULT,1,BOTOL 65 ML,2018.47,,
,,,,ICE CUBE,400,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
NEW ICE ALLURA HONEY LEMON,,Reguler,,,,,,Beverage,
,,,,SYRUP LEMON DENALI,33,ML,0,,
,,,,MADU TUJUH KARYA,20,ML,0,,
,,,,GULA PASIR GULAKU,30,GRAM,17.28,,
,,,,BUTTERFLY PEA TEA,2,GRAM,178.88,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
,,,,JERUK NIPIS,3,SLICE,0,,
NEW ICE ALLURA HONEY LEMON,,Jumbo,,,,,,Beverage,
,,,,SYRUP LEMON DENALI,45,ML,0,,
,,,,MADU TUJUH KARYA,25,ML,0,,
,,,,GULA PASIR GULAKU,30,GRAM,17.28,,
,,,,BUTTERFLY PEA TEA,2,GRAM,178.88,,
,,,,ICE CUBE,400,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 22 OZ,1,PCS,2322.16,,
,,,,JERUK NIPIS,3,SLICE,0,,
NEW ICE ALLURA MANGO KIWI,,Reguler,,,,,,Beverage,
,,,,KIWI JAM,22,GRAM,56.75,,
,,,,MANGO JAM,28,GRAM,56.38,,
,,,,GULA PASIR GULAKU,23,GRAM,17.28,,
,,,,BUTTERFLY PEA TEA,2,GRAM,178.88,,
,,,,ICE CUBE,220,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
,,,,JERUK NIPIS NON BRAND,2,SLICE,0,,
NEW ICE ALLURA MANGO KIWI,,Jumbo,,,,,,Beverage,
,,,,KIWI JAM,39,GRAM,56.75,,
,,,,MANGO JAM,44,GRAM,56.38,,
,,,,GULA PASIR GULAKU,25,GRAM,17.28,,
,,,,BUTTERFLY PEA TEA,2,GRAM,178.88,,
,,,,ICE CUBE,400,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 22 OZ,1,PCS,2322.16,,
,,,,JERUK NIPIS NON BRAND,3,SLICE,0,,
NEW ICE ALLURA STRAWBERRY YAKULT,,Reguler,,,,,,Beverage,
,,,,STRAWBERRY JAM,33,GRAM,56.31,,
,,,,GULA PASIR GULAKU,23,GRAM,17.28,,
,,,,YAKULT,1,BOTOL 65 ML,2018.47,,
,,,,BUTTERFLY PEA TEA,1,GRAM,178.88,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
,,,,JERUK NIPIS NON BRAND,1.5,SLICE,0,,
NEW ICE ALLURA STRAWBERRY YAKULT,,Jumbo,,,,,,Beverage,
,,,,STRAWBERRY JAM,66,GRAM,56.31,,
,,,,GULA PASIR GULAKU,23,GRAM,17.28,,
,,,,YAKULT,1,BOTOL 65 ML,2018.47,,
,,,,BUTTERFLY PEA TEA,2,GRAM,178.88,,
,,,,ICE CUBE,200,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 22 OZ,1,PCS,2322.16,,
,,,,JERUK NIPIS NON BRAND,3,SLICE,0,,
NEW ICE BLACK JASMINE TEA,,Reguler,,,,,,Beverage,
,,,,BLACK TEA THONG JIE,0.8,PCS,358.33,,
,,,,GULA PASIR GULAKU,37,GRAM,17.28,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,AQUA GALON,0,ML,1.12,,
,,,,CUP 14 OZ DIRNOSAURUS,1,PCS,552.59,,
NEW ICE BLACK JASMINE TEA,,Jumbo,,,,,,Beverage,
,,,,BLACK TEA THONG JIE,1,PCS,358.33,,
,,,,GULA PASIR GULAKU,45,GRAM,17.28,,
,,,,ICE CUBE,400,GRAM,1.31,,
,,,,AQUA GALON,0,ML,1.12,,
,,,,CUP 22 OZ DIRNOSAURUS,1,PCS,585.59,,
NEW ICE LYCHEE TEA,,Reguler,,,,,,Beverage,
,,,,POWDER LYCHEE TEA OMURA,23,GRAM,49.52,,
,,,,GULA PASIR GULAKU,23,GRAM,17.28,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,AQUA GALON,165,ML,1.12,,
,,,,CUP 14 OZ DIRNOSAURUS,1,PCS,552.59,,
NEW ICE LYCHEE TEA,,Jumbo,,,,,,Beverage,
,,,,POWDER LYCHEE TEA OMURA,33,GRAM,49.52,,
,,,,GULA PASIR GULAKU,28,GRAM,17.28,,
,,,,ICE CUBE,400,GRAM,1.31,,
,,,,AQUA GALON,220,ML,1.12,,
,,,,CUP 22 OZ DIRNOSAURUS,1,PCS,585.59,,
NEW ICE SUGUS BLACKCURRANT,,Reguler,,,,,,Beverage,
,,,,ABC SIRUP SQUASH DELIGHT GRAPE,23,ML,42.01,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,60,ML,15.29,,
,,,,MAX CREAMER,11,GRAM,67.16,,
,,,,YAKULT,1,BOTOL 65 ML,2018.47,,
,,,,GULA PASIR GULAKU,15,GRAM,17.28,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
,,,,ICE CUBE,300,GRAM,1.31,,
NEW ICE SUGUS BLACKCURRANT,,Float,,,,,,Beverage,
,,,,ABC SIRUP SQUASH DELIGHT GRAPE,30,ML,42.01,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,60,ML,15.29,,
,,,,MAX CREAMER,15,GRAM,67.16,,
,,,,YAKULT,1,BOTOL 65 ML,2018.47,,
,,,,GULA PASIR GULAKU,15,GRAM,17.28,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 22 OZ,1,PCS,2322.16,,
,,,,SOFT ICE CREAM DIAMOND,150,ML,14.3,,
,,,,ICE CUBE,400,GRAM,1.31,,
NEW ICE SUGUS MANGO,,Reguler,,,,,,Beverage,
,,,,MARJAN SQUASH MANGO,23,ML,0,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,60,ML,15.29,,
,,,,MAX CREAMER,11,GRAM,67.16,,
,,,,YAKULT,1,BOTOL 65 ML,2018.47,,
,,,,GULA PASIR GULAKU,15,GRAM,17.28,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
,,,,ICE CUBE,300,GRAM,1.31,,
NEW ICE SUGUS MANGO,,Jumbo,,,,,,Beverage,
,,,,MARJAN SQUASH MANGO,40,ML,0,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,95,ML,15.29,,
,,,,MAX CREAMER,18,GRAM,67.16,,
,,,,YAKULT,1,BOTOL 65 ML,2018.47,,
,,,,GULA PASIR GULAKU,15,GRAM,17.28,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 22 OZ,1,PCS,2322.16,,
,,,,ICE CUBE,400,GRAM,1.31,,
NEW ICE SUGUS MANGO,,Float,,,,,,Beverage,
,,,,MARJAN SQUASH MANGO,30,ML,0,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,60,ML,15.29,,
,,,,MAX CREAMER,15,GRAM,67.16,,
,,,,YAKULT,1,BOTOL 65 ML,2018.47,,
,,,,GULA PASIR GULAKU,15,GRAM,17.28,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 22 OZ,1,PCS,2322.16,,
,,,,SOFT ICE CREAM DIAMOND,150,ML,14.3,,
,,,,ICE CUBE,400,GRAM,1.31,,
NEW ICE SUGUS STRAWBERRY,,Reguler,,,,,,Beverage,
,,,,MARJAN BOUDOIN STRAWBERRY,23,ML,0,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,60,ML,15.29,,
,,,,MAX CREAMER,11,GRAM,67.16,,
,,,,YAKULT,1,BOTOL 65 ML,2018.47,,
,,,,GULA PASIR GULAKU,15,GRAM,17.28,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
,,,,ICE CUBE,300,GRAM,1.31,,
NEW ICE SUGUS STRAWBERRY,,Jumbo,,,,,,Beverage,
,,,,MARJAN BOUDOIN STRAWBERRY,40,ML,0,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,95,ML,15.29,,
,,,,MAX CREAMER,18,GRAM,67.16,,
,,,,YAKULT,1,BOTOL 65 ML,2018.47,,
,,,,GULA PASIR GULAKU,15,GRAM,17.28,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 22 OZ,1,PCS,2322.16,,
,,,,ICE CUBE,400,GRAM,1.31,,
NEW ICE SUGUS STRAWBERRY,,Float,,,,,,Beverage,
,,,,MARJAN BOUDOIN STRAWBERRY,30,ML,0,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,60,ML,15.29,,
,,,,MAX CREAMER,15,GRAM,67.16,,
,,,,YAKULT,1,BOTOL 65 ML,2018.47,,
,,,,GULA PASIR GULAKU,15,GRAM,17.28,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 22 OZ,1,PCS,2322.16,,
,,,,SOFT ICE CREAM DIAMOND,150,ML,14.3,,
,,,,ICE CUBE,400,GRAM,1.31,,
NEW MILO SAURUS,,Reguler,,,,,,Beverage,
,,,,POWDER MILO OMURA,33,GRAM,49.09,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,88,ML,15.29,,
,,,,MAX CREAMER,11,GRAM,67.16,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
NEW MILO SAURUS,,Jumbo,,,,,,Beverage,
,,,,POWDER MILO OMURA,66,GRAM,49.09,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,110,ML,15.29,,
,,,,MAX CREAMER,14,GRAM,67.16,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 22 OZ,1,PCS,2322.16,,
NEW NANO NANO,,Reguler,,,,,,Beverage,
,,,,NUTRISARI RUJAK,1,SACHET,1469,,
,,,,AQUA GALON,30,ML,1.12,,
,,,,GULA PASIR GULAKU,23,GRAM,17.28,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
,,,,JERUK NIPIS NON BRAND,2,SLICE,0,,
